reward_terms/action_rate,reward_terms/track_vx,reward_terms/hip_roll,reward_terms/progress,reward_terms/track_heading,reward_terms/overrun,reward_terms/pos_pen,reward_terms/stop,reward_terms/stance_time,time/fps,time/iterations,reward_terms/stance,time/time_elapsed,reward_terms/height,reward_terms/heading_pen,time/total_timesteps,rollout/ep_rew_mean,reward_terms/track_yaw,reward_terms/alive,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/yaw_rate,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/track_pos,reward_terms/upright,reward_terms/time,reward_terms/air_time,curriculum/sprint_dist_m,reward_terms/vz,rollout/ep_len_mean,reward_terms/clearance,reward_terms/torque,curriculum/ent_coef,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/approx_kl
-0.006782130195087923,0.0,-0.1781081018678216,0.0,0.0,0.0,0.0,0.0,-4.617582012486412e-05,125,376,-0.00655025873804845,11516,0.0,0.0,1443840,50.44101408,0.0,0.0,-6.750897647088529e-10,-2.2027036234666254e-07,0.0,-0.12676525176048056,1.021261727709116,0.0,-1.9236728103943838e-08,-0.5,0.005193559385432819,100.0,0.0,163.4,0.1359907051897892,-0.06773484779423397,0.01,-24.819843419392903,0.9644681215286255,0.0005470459155427913,0.28020833333333334,0.2,23.643845880031584,0.000264,1118,0.9320249557495117,22.050796508789062,0.031003905
-0.006722526772593865,0.0,-0.1809446481314853,0.0,0.0,0.0,0.0,0.0,-9.040103338620125e-05,125,377,-0.004912509516264725,11532,0.0,0.0,1447680,61.97597681,0.0,0.0,-6.064469182737112e-10,-3.046977213374528e-07,0.0,-0.1986605527834034,1.6072295330495032,0.0,-2.991277780319271e-08,-0.5,0.0038662179544828425,100.0,0.0,163.9,0.1598656586612702,-0.06308527437841614,0.01,-24.818272173404694,0.9642088413238525,-0.019491692102747038,0.25738525390625,0.2,1.3008111361414194,0.00026390399999999997,1122,0.9958534836769104,0.18587788939476013,0.027325936
-0.006869258480873022,0.0,-0.18095946622718845,0.0,0.0,0.0,0.0,0.0,-4.688174742987913e-05,125,378,-0.004308534911047516,11547,0.0,0.0,1451520,90.74075962,0.0,0.0,-6.713004943754627e-10,-2.9105111734961314e-07,0.0,-0.1486491074047159,1.3980991384702366,0.0,-2.6456836655998563e-08,-0.5,0.004093472803133594,100.0,0.0,163.96,0.15207119907068173,-0.05897347341536695,0.01,-24.806465327739716,0.9630332589149475,-0.01566813251702115,0.3018798828125,0.2,1.2455431632697582,0.000263808,1126,0.9962202310562134,0.2296796441078186,0.027220357
-0.006904950433344224,0.0,-0.17821220518444272,0.0,0.0,0.0,0.0,0.0,-5.233663853580341e-05,125,379,-0.00497781529647688,11561,0.0,0.0,1455360,78.98518679,0.0,0.0,-6.632610678807383e-10,-2.3371991345970167e-07,0.0,-0.118777047308302,1.1176626037820994,0.0,-2.056777641033273e-08,-0.5,0.0038219841450859555,100.0,0.0,166.59,0.13532430068414347,-0.06919411484851744,0.01,-24.783710861206053,0.9621007442474365,0.0060372768435627226,0.2353515625,0.2,6.677148377895355,0.000263712,1128,0.987263560295105,0.22182783484458923,0.044088252
-0.006693890006924854,0.0,-0.1775115727134152,0.0,0.0,0.0,0.0,0.0,-4.966202476521173e-05,126,380,-0.0058153617867308825,11578,0.0,0.0,1459200,89.95802832,0.0,0.0,-6.499388283322161e-10,-2.68171692921769e-07,0.0,-0.14637338771015113,1.3920743858776607,0.0,-2.429828159597906e-08,-0.5,0.004064283846355694,100.0,0.0,164.67,0.15301228777398992,-0.060203702923214246,0.01,-24.771557569503784,0.9617507457733154,-0.007416850643494399,0.29437255859375,0.2,1.1556246057152748,0.000263616,1132,0.996261477470398,0.44559356570243835,0.029443843
-0.006743760405519593,0.0,-0.17749777106945078,0.0,0.0,0.0,0.0,0.0,-0.0001576709689206568,126,381,-0.007645856648191867,11595,0.0,0.0,1463040,110.76164566000001,0.0,0.0,-6.386919385646514e-10,-3.0277391833468493e-07,0.0,-0.17552548937229046,1.4614018275268286,0.0,-2.9487145550426882e-08,-0.5,0.004039985074825784,100.0,0.0,164.39,0.1545853197446216,-0.05503367122316753,0.01,-24.756527264912922,0.9607812166213989,-0.006556611857376993,0.2567545572916667,0.2,10.6733812764287,0.00026352,1135,0.974247395992279,0.2830142676830292,0.026575472
-0.006817834941746237,0.0,-0.17767307522469994,0.0,0.0,0.0,0.0,0.0,-2.2187467276429135e-05,126,382,-0.006136370640942124,11610,0.0,0.0,1466880,92.7179336,0.0,0.0,-6.692214212873716e-10,-2.379590335037173e-07,0.0,-0.12556546121299736,1.1682906032385307,0.0,-2.1778522375927895e-08,-0.5,0.004365191053363203,100.0,0.0,165.01,0.14777042716205716,-0.07401266400102208,0.01,-24.73899221420288,0.9596542716026306,-0.014370161585247843,0.2833251953125,0.2,1.7758306935429573,0.000263424,1139,0.9943171739578247,0.4953716993331909,0.028676514
-0.006893225429394415,0.0,-0.17502314208782258,0.0,0.0,0.0,0.0,0.0,-0.0001025387553671525,126,383,-0.008531680572452276,11625,0.0,0.0,1470720,65.05617017,0.0,0.0,-7.359979785299323e-10,-1.9311538133769957e-07,0.0,-0.09272577112602547,0.8272201372894243,0.0,-1.5609995089685457e-08,-0.5,0.005425576884683272,100.0,0.0,160.49,0.13559950067842538,-0.07441649369730927,0.01,-24.712892174720764,0.9581526517868042,-0.014943278511054814,0.26654052734375,0.2,0.9813305009156466,0.000263328,1143,0.9970306754112244,0.117605060338974,0.023875142
-0.00680985026027901,0.0,-0.18384492808183253,0.0,0.0,0.0,0.0,0.0,-8.471225621837623e-05,126,384,-0.0064120444458675456,11641,0.0,0.0,1474560,91.86165298,0.0,0.0,-6.818879084079435e-10,-3.575841161150219e-07,0.0,-0.17630097939619763,1.6963042622969442,0.0,-3.395363351335113e-08,-0.5,0.002837302351913194,100.0,0.0,161.99,0.17759855707578806,-0.06257303141268808,0.01,-24.689909279346466,0.9573978781700134,-0.0033221335615962744,0.341796875,0.2,9.864780921489,0.000263232,1147,0.9592102766036987,6.431900978088379,0.03605925
-0.006839237502132934,0.0,-0.182544356843026,0.0,0.0,0.0,0.0,0.0,-0.0001604800293306329,126,385,-0.002663207639888356,11657,0.0,0.0,1478400,82.39783876999999,0.0,0.0,-6.804260783091598e-10,-3.2526194148241077e-07,0.0,-0.19051736876277175,1.6971165687442236,0.0,-3.226559130406355e-08,-0.5,0.003073357138603665,100.0,0.0,162.72,0.17742883035278106,-0.057981007080150936,0.01,-24.677467942237854,0.9565143585205078,-0.010111735813552514,0.21405029296875,0.2,5.107043851166964,0.00026313599999999997,1151,0.9841893911361694,0.12396204471588135,0.021487262
-0.006900755959325175,0.0,-0.17810727783592994,0.0,0.0,0.0,0.0,0.0,-1.4270808853610765e-05,126,386,-0.006941546855786829,11672,0.0,0.0,1482240,90.94302785000002,0.0,0.0,-7.428412786693443e-10,-2.580638475624976e-07,0.0,-0.143134666598364,1.2857126697207866,0.0,-2.459318788628151e-08,-0.5,0.003178531861918735,100.0,0.0,164.19,0.15164773582024615,-0.05606140488714015,0.01,-24.665174782276154,0.9567591547966003,-0.008485644157190109,0.27825927734375,0.2,1.4816872328519821,0.00026304,1155,0.9929414391517639,0.12736323475837708,0.030875422
-0.006799834979875219,0.0,-0.180324156887115,0.0,0.0,0.0,0.0,0.0,-0.00028003420689095003,127,387,-0.006131465858238876,11687,0.0,0.0,1486080,122.96424130000001,0.0,0.0,-5.772345253079737e-10,-3.422289516891432e-07,0.0,-0.1952329892508991,1.7083350396663708,0.0,-3.520240828673459e-08,-0.5,0.0022839620905038276,100.0,0.0,165.46,0.16231154850119467,-0.056546172702214986,0.01,-24.666854349772134,0.9564826488494873,-0.004966078884899616,0.27421875,0.2,1.1280370712280274,0.000262944,1157,0.9968860149383545,0.2799781560897827,0.03525855
-0.006792643054223684,0.0,-0.17836906347478443,0.0,0.0,0.0,0.0,0.0,-4.434889562738438e-05,127,388,-0.007231614200020091,11703,0.0,0.0,1489920,151.16204201,0.0,0.0,-6.537781624711319e-10,-3.141201232145828e-07,0.0,-0.17113486744307344,1.603285520633719,0.0,-3.056543223340112e-08,-0.5,0.004154837696196094,100.0,0.0,167.53,0.1651547624499667,-0.06362932719369518,0.01,-24.653419375419617,0.9552150368690491,-0.01227519385429332,0.29095458984375,0.2,1.0183725245296955,0.000262848,1161,0.9969317317008972,0.3646012544631958,0.024831176
