reward_terms/phase_contact,reward_terms/stop,reward_terms/time,reward_terms/air_time,reward_terms/stance_time,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/alive,reward_terms/action_rate,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/ang_xy,reward_terms/residual_rate,curriculum/ent_coef,reward_terms/height,reward_terms/assist_pen,reward_terms/torque,reward_terms/motor_vel,reward_terms/energy,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/residual,reward_terms/stance,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/coef_rate,reward_terms/clearance,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,reward_terms/vz,reward_terms/lat_vel,time/fps,reward_terms/upright,time/total_timesteps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/learning_rate,train/loss
-0.3302231448369406,0.02204074436366779,-0.5,0.0020844159848315436,-1.071452020874454e-05,1.0,-0.8930682696842273,0.0,0.0,0.0,-0.019100998019617208,100.0,0.0,-3.34190598355464e-05,0.0,0.0029589760000000003,-0.01641482434658209,0.0,-0.45298564333277763,-0.008820626613848005,-0.055600849902484185,0.0,4.329491561432574,-0.11223325145207252,0.0,0.42,-0.04716267736308552,-0.09235345818418189,0.13660342173421938,9627.2,4427.95413739,7262,1659,-0.09428824830326195,-1.351464562200414e-07,4210,-4.931330647340034e-07,30578688,19183,-19.804144382476807,0.011397345,0.13470458984375,1.4160384356975555,-0.007990896422415971,0.9995074272155762,0.9956014156341553,0.2,0.00019813248,0.5051591396331787
-0.33671006500721234,0.02626114907293793,-0.5,0.0020713951477470496,-4.747091507953074e-05,1.0,-0.8833723353051024,0.0,0.0,0.0,-0.019611174047756034,100.0,0.0,-3.4585148492337657e-05,0.0,0.0029466880000000003,-0.01564705304738883,0.0,-0.4485120626533959,-0.008731233946345476,-0.05531673092685503,0.0,4.254580798331141,-0.11203115262176307,0.0,0.42,-0.04761071623777319,-0.097602295741537,0.13205190685563847,9640.84,4418.12083026,7266,1660,-0.08665669683337032,-1.4317352639518665e-07,4210,-4.912338920503051e-07,30597120,19187,-19.80267925262451,0.010212963,0.15157470703125,3.110546374320984,-0.0036819860571995376,0.9992946982383728,0.995578408241272,0.2,0.00019807104,1.1598758697509766
-0.31858703106953323,0.02523755589271663,-0.5,0.0020551191345374617,-3.160189306880865e-05,1.0,-0.8932128023534575,0.0,0.0,0.0,-0.01909638183472123,100.0,0.0,-3.329208116811018e-05,0.0,0.0029344,-0.015384329457912346,0.0,-0.4514776125553952,-0.008703130216932295,-0.05537252095368776,0.0,4.1107486907405155,-0.11196942439180918,0.0,0.42,-0.0500803827759771,-0.09895720349523293,0.13207457792785476,9628.79,4417.93565805,7271,1661,-0.08942406028824547,-1.3802582009921665e-07,4210,-4.912349245776198e-07,30615552,19191,-19.802298736572265,0.013435209,0.11993408203125,63.96565637588501,-0.0033006055164150894,0.9880228638648987,0.995674192905426,0.2,0.0001980096,29.035310745239258
-0.3074202335877436,0.05481518951444373,-0.5,0.0018939864886407223,-0.00036051234928891063,1.0,-0.8304020219307714,0.0,0.0,0.0,-0.020165645842662474,100.0,0.0,-3.1734207069061264e-05,0.0,0.002922112,-0.015063838493227434,0.0,-0.4248568234346618,-0.00805209209994468,-0.05189993696379403,0.0,3.9052456739280776,-0.11141772061953291,0.0,0.42,-0.04691881717844942,-0.093860928232693,0.12208401273105457,9623.6,4424.433686469999,7275,1662,-0.08081283188965212,-1.3600560539128203e-07,4210,-4.5044940575855075e-07,30633984,19195,-19.8022216796875,0.006028245,0.03079833984375,21.13425464630127,-0.004084613942541182,0.9974081516265869,0.9956059455871582,0.2,0.00019794816,6.981446743011475
-0.33440333631644503,0.03403914435822579,-0.5,0.002028534952033725,-5.981329660345283e-05,1.0,-0.8814658679122831,0.0,0.0,0.0,-0.019588066822129647,100.0,0.0,-3.347480377063738e-05,0.0,0.002909824,-0.016437614601979237,0.0,-0.4546580047194374,-0.008594276770981187,-0.055211781795579944,0.0,4.215537203935947,-0.11203222539360902,0.0,0.42,-0.049820517400235985,-0.09309639787192948,0.1310207533649058,9633.02,4424.01434522,7279,1663,-0.08626884370327262,-1.3808431531133504e-07,4210,-4.854970500511965e-07,30652416,19199,-19.801737117767335,0.009497018,0.0708984375,24.51134786605835,-0.005987390654627234,0.9969729781150818,0.995491087436676,0.2,0.00019788672,9.9767484664917
-0.3199729615490441,0.028673079557277475,-0.5,0.002031247639226624,-4.408010216947231e-05,1.0,-0.8982539337993326,0.0,0.0,0.0,-0.01968870551228603,100.0,0.0,-3.3379720364315596e-05,0.0,0.002897536,-0.015728042521579222,0.0,-0.45559260836448956,-0.008622530261731216,-0.05545640558944598,0.0,4.145429700576105,-0.11213516287875525,-0.0003912120448173194,0.42,-0.04987848235272708,-0.09716031162605987,0.1332391019221018,9603.7,4431.073055819999,7284,1664,-0.08517389226692357,-1.4402949775330465e-07,4210,-4.907127327705709e-07,30670848,19203,-19.798933696746825,0.018445829,0.1681884765625,8.594635438919067,-0.0093456398579292,0.9982943534851074,0.9950106739997864,0.2,0.00019782528,2.527503252029419
-0.2955318540833893,0.060098911990529774,-0.5,0.0018261697486094716,-8.137560346060329e-06,1.0,-0.7991191648022992,0.0,0.0,0.0,-0.01999564020710767,100.0,0.0,-3.117812545243908e-05,0.0,0.002885248,-0.013843966237774714,0.0,-0.40713433592334897,-0.007943853733360722,-0.050394796118116494,0.0,3.811710597182744,-0.11146544672850103,-9.646671418768725e-06,0.42,-0.04486107599009073,-0.09094752433410834,0.1229210365292717,9600.09,4432.8456005,7288,1665,-0.07932495213729439,-1.3521614913315418e-07,4210,-4.399272514723166e-07,30689280,19207,-19.788296508789063,0.021384142,0.27437744140625,18.21167645454407,0.0009185700037050992,0.9977362155914307,0.9943767189979553,0.2,0.00019776384,8.751840591430664
-0.3212766517232811,0.03749475014013357,-0.5,0.0020762779717592317,-1.3291493006464509e-05,1.0,-0.8580884935709077,0.0,0.0,0.0,-0.019427887583476286,100.0,0.0,-3.371001734328126e-05,0.0,0.00287296,-0.01591586272532118,0.0,-0.44474477837513304,-0.008529906412226814,-0.054614834243444925,0.0,4.238498061986729,-0.11203495274836212,0.0,0.42,-0.04893436221578389,-0.09180091863803232,0.13255462566512619,9600.09,4432.8456005,7292,1666,-0.08321841435524603,-1.454042580403047e-07,4210,-4.80342126100653e-07,30707712,19211,-19.78511266708374,0.010697703,0.09776611328125,16.067610216140746,-0.0046549012302421035,0.9982672929763794,0.9943174123764038,0.2,0.00019770239999999999,4.517407417297363
-0.32142109441064304,0.03519815697320779,-0.5,0.002114797903535267,-9.765072415272394e-06,1.0,-0.8590990417022668,0.0,0.0,0.0,-0.01915429597498291,100.0,0.0,-3.189168966353996e-05,0.0,0.002860672,-0.014770690969222185,0.0,-0.44079033387490285,-0.008600792411815173,-0.05461375049977466,0.0,4.21235374934054,-0.11219858330588355,0.0,0.42,-0.04666238646982835,-0.09389706405717922,0.1350801823537999,9624.04,4430.0645408499995,7297,1667,-0.08489949426019254,-1.39726201594645e-07,4210,-4.814331937166209e-07,30726144,19215,-19.780884552001954,0.026959915,0.24840087890625,1.2986104279756545,-0.010269354924093931,0.999687910079956,0.9939277768135071,0.2,0.00019764096,0.39377036690711975
-0.3217729797739975,0.026729990478347808,-0.5,0.0021809870538870907,-1.708907721978095e-05,1.0,-0.8766457323533762,0.0,0.0,0.0,-0.019507515660855502,100.0,0.0,-3.3510897219796454e-05,0.0,0.0028483840000000007,-0.015154163885855257,0.0,-0.4449003552813062,-0.008754092074267882,-0.05518658618420027,0.0,4.304843107843462,-0.11225890714081858,-5.774700681949648e-06,0.42,-0.04973485937075031,-0.09719686775085085,0.13799909775878305,9640.93,4428.097878969999,7301,1668,-0.09112548132207489,-1.465878041320946e-07,4210,-4.865782887143547e-07,30744576,19217,-19.775597254435223,0.057297062,0.2642822265625,9.618631680806478,0.009502969837437073,0.9985752105712891,0.9935823678970337,0.2,0.00019757952,6.999723434448242
-0.2702734179363453,0.07197408049287957,-0.5,0.0018098937127635712,-2.7804140700027347e-05,1.0,-0.8013098391676352,0.0,0.0,0.0,-0.021573621890877033,100.0,0.0,-2.949627208545168e-05,0.0,0.0028360960000000006,-0.013305805197053613,0.0,-0.3991818504056306,-0.007660250600079095,-0.04874465498359046,0.0,3.6000979653954723,-0.11035394245609595,-5.548336462617246e-07,0.42,-0.04371515336497905,-0.08773348724928981,0.10979568026101029,9641.19,4429.755351289999,7305,1669,-0.07505863556769964,-1.3262735370187243e-07,4210,-4.278123564425981e-07,30763008,19221,-19.771609020233154,0.0122621255,0.16973876953125,3.2552700996398927,-0.001418793003540486,0.9992385506629944,0.9932155609130859,0.2,0.00019751808,1.4549087285995483
-0.28275814759134094,0.05722787206282457,-0.5,0.0017127800965681672,-1.5461565150568884e-05,1.0,-0.8209600525054,0.0,0.0,0.0,-0.02128943654821679,100.0,0.0,-3.1549217077112246e-05,0.0,0.0028238079999999997,-0.0139608230502043,0.0,-0.4121582363515496,-0.007893935378118121,-0.05079828928587376,0.0,3.6404904719358506,-0.1109599520786626,0.0,0.42,-0.04297795915530153,-0.09846885911580369,0.11584564743374057,9647.2,4433.40840208,7310,1670,-0.07961591638876388,-1.1869322504480308e-07,4210,-4.4649674295253923e-07,30781440,19225,-19.768677711486816,0.009716721,0.077294921875,17.521873474121094,-0.004478030453901738,0.9983096718788147,0.9932065010070801,0.2,0.00019745664,3.932281970977783
-0.27291540772291056,0.07246634689759954,-0.5,0.001916772951113267,-1.8716757444457875e-05,1.0,-0.7821980171995594,0.0,0.0,0.0,-0.021172649205048594,100.0,0.0,-2.8212447283322133e-05,0.0,0.0028115199999999996,-0.012950987718775505,0.0,-0.3977774467277441,-0.007762652398225128,-0.04887184228807892,0.0,3.7427803411574203,-0.11063688250565412,0.0,0.42,-0.0444416867157755,-0.08902648655458796,0.12040358042240006,9647.2,4433.40840208,7314,1671,-0.07784024152093408,-1.2231434419043643e-07,4210,-4.307479237366219e-07,30799872,19229,-19.768656253814697,0.007398767,0.04849853515625,34.88304777145386,-0.004398703901097178,0.9965491890907288,0.9930893182754517,0.2,0.0001973952,13.676177024841309
-0.2576313743124612,0.0910929529819973,-0.5,0.0017491299173949908,-2.061544607083003e-05,1.0,-0.7513789686191876,0.0,0.0,0.0,-0.02229199996519928,100.0,0.0,-2.8548990392164928e-05,0.0,0.0027992319999999996,-0.012817712646312358,0.0,-0.383106032040171,-0.007297631140714699,-0.04660655506682884,0.0,3.471152919707301,-0.10994181435446054,0.0,0.42,-0.04211236423851516,-0.08327483691147436,0.10971713686343097,9647.2,4433.40840208,7318,1672,-0.07084793359810235,-1.3200454196061144e-07,4210,-4.168846839599574e-07,30818304,19233,-19.76753387451172,0.009280225,0.08707275390625,3.3906638860702514,-0.01023532940307632,0.9995562434196472,0.9930816888809204,0.2,0.00019733376,1.7439523935317993
-0.2726581496397418,0.07523675159167145,-0.5,0.0017697462107106629,-1.681790066262086e-05,1.0,-0.771583106381562,0.0,0.0,0.0,-0.02174331391324226,100.0,0.0,-3.066616204844453e-05,0.0,0.0027869440000000004,-0.012535268536366162,0.0,-0.3910898842622278,-0.007576242094576732,-0.048137920481407276,0.0,3.5671495049496165,-0.1103091191301639,0.0,0.42,-0.04233956878047053,-0.08729626934009074,0.11470941741407392,9668.31,4438.89313966,7323,1673,-0.07511524055829107,-1.2958865285785146e-07,4210,-4.292156540549015e-07,30836736,19237,-19.76803092956543,0.009409981,0.08997802734375,1.5341217160224914,-0.00857137874700129,0.9998048543930054,0.9930694103240967,0.2,0.00019727231999999999,0.4497039318084717
