reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/yaw_rate,reward_terms/stance_time,time/total_timesteps,time/time_elapsed,reward_terms/alive,curriculum/ent_coef,rollout/ep_rew_mean,reward_terms/track_vx,reward_terms/upright,reward_terms/pos_pen,reward_terms/fwd_speed,reward_terms/vz,reward_terms/stance,reward_terms/height,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/torque,reward_terms/progress,time/fps,reward_terms/lat_vel,time/iterations,curriculum/cmd_vx_frac,reward_terms/air_time,reward_terms/track_yaw,reward_terms/heading_pen,reward_terms/action_rate,reward_terms/clearance,reward_terms/track_heading,reward_terms/track_pos,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/loss
-0.05253355161487938,-0.6125431065134699,0.0,0.0,9068544,7180,0.5,0.01,-105.44081749000001,0.0,-0.009062531703545889,0.0,0.1085890295677139,-0.08498946147007418,-0.00018143804064971625,-0.002113185735422641,-0.006311382486809521,10.1,-0.318477378126352,0.0,1262,-2.2331084961519867e-09,369,1.0,0.0,0.0,0.0,-0.13012400404018912,0.09167532084088148,0.0,0.0,0.0001869504,0.2031300812959671,0.7404921054840088,0.19905598958333334,1472,0.013769641,-0.0016485769010614604,0.2,0.43227875232696533,1.208323856194814,0.2684236168861389
-0.05132535883071859,-0.6175427623308095,0.0,0.0,9093120,7200,0.5,0.01,-105.18008728000001,0.0,-0.009117224630516568,0.0,0.1082858218255025,-0.0854303741351571,-0.00014050502009268375,-0.0021115469367552152,-0.006400024319879808,10.0,-0.3178143031974115,0.0,1262,-2.13336647434118e-09,370,1.0,0.0,0.0,0.0,-0.12999810893420274,0.09074360733219422,0.0,0.0,0.00018664320000000002,0.20265133678913116,0.7035787105560303,0.16396077473958334,1476,0.012974392,-0.002290406671818346,0.2,0.5238777535657088,1.2239070783058803,0.26671725511550903
-0.05208053899387649,-0.6137875257572533,0.0,0.0,9117696,7219,0.5,0.01,-105.10239105000001,0.0,-0.009081244212134814,0.0,0.10862839853493932,-0.08579775290091873,-0.00015108882150339308,-0.0021221488757328538,-0.006227357768291073,10.0,-0.3178190431156101,0.0,1262,-2.1293380142255658e-09,371,1.0,0.0,0.0,0.0,-0.1299047183735221,0.09095057027745866,0.0,0.0,0.000186336,0.20227469503879547,0.6845171451568604,0.20616658528645834,1480,0.0150259035,-0.0008033500732077906,0.2,0.5820940248668194,1.2375548034906387,0.2987450659275055
-0.05425331640895436,-0.6133887145228252,0.0,0.0,9142272,7238,0.5,0.01,-105.01982082,0.0,-0.010812457863436806,0.0,0.1088553664504197,-0.08612465053868044,-0.0001612121745047862,-0.0021401904400784096,-0.006139028347021183,10.0,-0.3171456517809111,0.0,1262,-2.181307623655055e-09,372,1.0,0.0,0.0,0.0,-0.1300295261510828,0.09168445675363639,0.0,0.0,0.00018602879999999998,0.2017127275466919,0.7052054405212402,0.21284993489583334,1484,0.018518625,-0.0023510992856851467,0.2,0.5147600608567396,1.2516417900721233,0.23658891022205353
-0.053373192111128336,-0.6120516165107693,0.0,0.0,9166848,7258,0.5,0.01,-105.18834895999998,0.0,-0.010503078885103509,0.0,0.10915877350961749,-0.08562509320654088,-0.00018120997877372927,-0.0021615621668239727,-0.00631579047661189,10.0,-0.3179059174821403,0.0,1262,-2.1873692357682374e-09,373,1.0,0.0,0.0,0.0,-0.12925109621952627,0.09129665852913606,0.0,0.0,0.0001857216,0.20128192007541656,0.647918164730072,0.22113037109375,1488,0.016651228,-0.001603637938387692,0.2,0.7238893186052641,1.268380065759023,0.38024646043777466
-0.05207005004692083,-0.615230228433049,0.0,0.0,9191424,7277,0.5,0.01,-105.00987796,0.0,-0.00896238190497012,0.0,0.11112725329660789,-0.08346356745653453,-0.0001356065087381749,-0.0020519490118238227,-0.006153239660801449,10.01,-0.32190116819060793,0.0,1262,-2.0475160797933487e-09,374,1.0,0.0,0.0,0.0,-0.1290033902142844,0.09116841994834494,0.0,0.0,0.00018541439999999998,0.20091016590595245,0.6443493366241455,0.22102864583333334,1492,0.017542643,-0.00033054179220926017,0.2,0.7447612856825193,1.2803427676359813,0.275345116853714
-0.04920180514563513,-0.6163635130793876,0.0,0.0,9216000,7297,0.5,0.01,-105.41387385,0.0,-0.008280405571877786,0.0,0.10885213155743217,-0.08464151163008622,-0.0001868251506588135,-0.0020846630681921716,-0.006206945056567343,10.06,-0.3210243192462338,0.0,1262,-2.0949205672813993e-09,375,1.0,0.0,0.0,0.0,-0.12908470063998223,0.09109636470641509,0.0,0.0,0.00018510720000000002,0.20045439898967743,0.7111009359359741,0.19856770833333334,1496,0.016183976,-0.0006807768222643062,0.2,0.4845026358962059,1.292865475018819,0.331881046295166
-0.05054749700618869,-0.6130066887849469,0.0,0.0,9240576,7316,0.5,0.01,-105.17090347999999,0.0,-0.009321462427115703,0.0,0.1093282014635971,-0.08594856811519418,-0.00023395129025323013,-0.002098667034267973,-0.006306665528626185,10.05,-0.3176415846571938,0.0,1262,-2.0616808058518108e-09,376,1.0,0.0,0.0,0.0,-0.12863314515607419,0.09119995335124263,0.0,0.0,0.0001848,0.1997859627008438,0.7505476474761963,0.17083740234375,1500,0.012444069,-0.0016864800224235903,0.2,0.39434657618403435,1.3096639613310497,0.2015630006790161
-0.048165131243675184,-0.6149543628108461,0.0,0.0,9265152,7336,0.5,0.01,-105.00679726,0.0,-0.008585256022641216,0.0,0.10774182083337487,-0.08643282612920454,-0.00012932923028530238,-0.0021293686245186906,-0.006290895158733672,10.0,-0.31853651348506445,0.0,1262,-2.10454497746599e-09,377,1.0,0.0,0.0,0.0,-0.12796519371572268,0.090993840259246,0.0,0.0,0.00018449279999999997,0.19918566942214966,0.7227106094360352,0.18073527018229166,1504,0.014062977,-0.00302437734111057,0.2,0.4615692173441251,1.3299760818481445,0.24939629435539246
-0.0532951593808172,-0.6147735353550432,0.0,0.0,9289728,7355,0.5,0.01,-104.95251378,0.0,-0.011468382072686266,0.0,0.11066254724799836,-0.089194329458078,-0.0002905257498302736,-0.0022487939038695554,-0.006480696961928902,10.0,-0.3162910175840579,0.0,1262,-2.110507406575689e-09,378,1.0,0.0,0.0,0.0,-0.12791211926944235,0.09165437068894068,0.0,0.0,0.0001841856,0.1987716406583786,0.7094104886054993,0.20989990234375,1508,0.013279329,-0.0007214201565754289,0.2,0.505469299852848,1.3458824654420216,0.3050645887851715
